title,price,images,rating
"Lenovo LOQ 15IRX9 Gaming - 14th i7-14700HX 20 Cores, AI Chip: LA1, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, 16GB DDR5-5600 RAM, 1TB SSD, 15.6"" FHD (1920x1080) IPS 300nits 144Hz 100% sRGB //2 Years/",61053,https://m.media-amazon.com/images/I/61veW5uEbRL._AC_UL320_.jpg,nan
"Lenovo LOQ 15IRX9 Gaming Laptop - 13th Intel Core i7-13650HX, 16GB DDR5 RAM, 1TB SSD, AI Chip: LA1, NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics, 15.6"" FHD (1920x1080) IPS 144Hz 100% sRGB, Win 11",49899,https://m.media-amazon.com/images/I/81iInRTA6tL._AC_UL320_.jpg,nan
Sponsored Ad – i-520 Gaming Sound Bar - 6W - Stereo Sound 2.0 - High Quality - USB Powered - Perfect for PC and Laptop - Black,450,https://m.media-amazon.com/images/I/51OBYEywP4L._AC_UL320_.jpg,nan
"Sponsored Ad – FANGOR Portable Monitor, 15.6"" FHD 1080P Travel Monitor for Laptop, Ultra-Slim HDR IPS Computer Gaming Display, USB-C HDMI Screen Extender with Smart Cover for Laptop PC Phone Mac Xbox PS4/5 Switch",15999,https://m.media-amazon.com/images/I/711KL6MNTaL._AC_UL320_.jpg,4.2
"Sponsored Ad – MAGICRAVEN 2.5K Portable Monitor, 17.3 Inch 1440P IPS Laptop Monitor, Dual USB C HDMI Second Computer Screen, VESA Gaming Display with 2 Speakers, Travel Monitor for Laptop PS4/5 PC Phone Xbox Switch",20999,https://m.media-amazon.com/images/I/71pAWcZe79L._AC_UL320_.jpg,4.2
"Sponsored Ad – i-580 Sound Bar Gaming Headset, Powerful Sound with High Quality - 3W 2.0 Channel USB Powered for PC and Laptop - Black",550,https://m.media-amazon.com/images/I/71zz7cSH3zL._AC_UL320_.jpg,nan
"HP Victus 15-fb2082wm Gaming Laptop - Ryzen 5 8645HS Latest Generation, 8GB RAM DDR5-5600 MHz, 512GB SSD, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics, 15.6"" FHD IPS 144Hz, Backlit Keyboard, Win11",38015,https://m.media-amazon.com/images/I/61Y4Cp5otEL._AC_UL320_.jpg,3.7
"Lenovo LOQ 15IRX9 Gaming Laptop - 13th Intel Core i7-13650HX 14 Cores, AI Chip: LA1, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 300nits 144Hz grey",45999,https://m.media-amazon.com/images/I/51sfAk+pcQL._AC_UL320_.jpg,4.2
"Lenovo LOQ 15IAX9 Gaming Laptop- Intel Core i5-12450HX, AI Chip: LA1, 4GB GDDR6 NVIDIA GeForce RTX2050, 8GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 100% sRGB 144Hz, RGB Mouse, 2 Years Warranty",28999,https://m.media-amazon.com/images/I/51rSsB82hZL._AC_UL320_.jpg,nan
"Lenovo Legion Pro 5, Intel Core i7-13700HX, 16GB DDR5-4800, 16"" WQXGA (2560x1600) IPS 500nits Anti-glare, 100% sRGB, 240Hz,1TB SSD, Windows 11 Home (82WK00AKED) 2 Years Local Warranty by Lenovo",64661,https://m.media-amazon.com/images/I/51hGmOBkIsL._AC_UL320_.jpg,4.0
"Lenovo LOQ 15ARP9 Gaming Laptop - Ryzen 7 7435HS, AI Chip: LA1, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 300nits 100% sRGB 144Hz G-SYNC, Win 11",54199,https://m.media-amazon.com/images/I/61F9bJVMGKL._AC_UL320_.jpg,4.7
"Lenovo LOQ 15IAX9 Gaming Laptop- Intel Core i5-12450HX, AI Chip: LA1, 4GB GDDR6 NVIDIA GeForce RTX2050, 16GB DDR5 RAM, 512GB SSD, 15.6"" FHD (1920x1080) IPS 100% sRGB 144Hz, RGB Mouse",29999,https://m.media-amazon.com/images/I/61k+wH3J2VL._AC_UL320_.jpg,5.0
"Lenovo Legion 5 15ACH6 Gaming Laptop - Ryzen 5-5600H, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 3050 Ti 4GB GDDR6 Graphics, 15.6"" FHD (1920x1080) IPS 120Hz, Backlit Keyboard, WIN 11",40999,https://m.media-amazon.com/images/I/51M5LTNoZ4L._AC_UL320_.jpg,3.5
"Lenovo IdeaPad Slim 3 15IRH8 Intel Core i5-13420H 512GB SSD 8GB RAM Intel UHD Graphics 15.6"" Windows 11 Laptop, Arctic Grey",24199,https://m.media-amazon.com/images/I/51VXgmHMm+L._AC_UL320_.jpg,nan
"MSI Thin GF63 12UCX | i5-12450H | RTX 2050 GDDR6 4GB | DDR4 8GB 3200MHz | Gen4x4 512GB NVMe PCIe SSD | 15.6"" FHD 144Hz 45%NTSC IPS-Level | 2 Year Local Warranty | + Gaming Gear Bundle",33615,https://m.media-amazon.com/images/I/51TOPfOnS-L._AC_UL320_.jpg,3.3
"Lenovo Legion 7 Gaming Laptop, 16"" WQXGA 2560x1600 IPS 165Hz Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080 16GB, 32GB DDR4 RAM, 1TB SSD, RGB Backlit Keyboard, E-shutter, Storm Grey",105188,https://m.media-amazon.com/images/I/61+8vLSjaeL._AC_UL320_.jpg,4.0
"HP Victus 15-fb0049ne Gaming Laptop - Ryzen 5-5600H 6-Cores, 8 GB RAM, 512GB SSD, 15.6"" FHD (1920X1080) 144 Hz IPS, AMD Radeon RX 6500M 4GB GDDR6 Graphics, Backlit Keyboard - Mica Silver",29899,https://m.media-amazon.com/images/I/61PPFqA2P2L._AC_UL320_.jpg,3.7
"HP Victus 16-r0043ne Gaming Laptop - 13th i7-13700H 14-Cores, 16 GB DDR5-5200 MHz RAM, 1TB SSD, 16.1"" FHD (1920X1080) 144 Hz IPS, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, Backlit Keyboard - Blue",58946,https://m.media-amazon.com/images/I/71TN45+oJ0L._AC_UL320_.jpg,nan
